q_ch4,q_co2,q_gas,q_h2
1616.473618,850.4073115,2602.97443,0.043150191
1616.473618,850.4073115,2602.97443,0.043150191
1642.779062,866.5951035,2647.689555,0.044004216
1633.652798,861.1320547,2632.338196,0.044051841
1640.200365,865.0430058,2643.343631,0.044576255
1672.578233,884.6830744,2698.076826,0.045820129
1667.359538,881.7397261,2689.489544,0.046024578
1674.357464,886.2358683,2701.583246,0.046536081
1708.537146,907.3910378,2759.799581,0.047772373
1704.557389,905.4590699,2753.580607,0.0479068
1728.061723,920.3278085,2793.948527,0.048775354
1725.608747,919.4195844,2790.412905,0.048875364
1744.470248,931.5930527,2823.059119,0.049544716
1743.323344,931.5482952,2821.805729,0.04961552
1746.16391,933.9439804,2827.313687,0.049771873
1765.344977,946.4495033,2860.642855,0.050370473
1764.566208,946.6801652,2860.066374,0.05038004
1766.984594,948.8570526,2864.899683,0.050463754
1770.508304,951.7205362,2871.61764,0.050564863
1774.337018,954.7757638,2878.857962,0.05066335
1778.031358,957.7469889,2885.868496,0.050749053
1781.335321,960.471774,2892.209162,0.050816687
1784.126915,962.8713083,2897.668799,0.050864505
1786.381622,964.9280616,2902.203212,0.050893291
1788.133571,966.6617303,2905.869035,0.050905277
1789.443245,968.1090522,2908.768537,0.050903242
1790.376506,969.3105832,2911.01365,0.050889935
1790.994571,970.3042962,2912.708702,0.050867808
1791.351236,971.1237378,2913.945557,0.050838958
1791.492476,971.7976981,2914.802847,0.050805139
1791.457252,972.3506643,2915.347304,0.0507678
1791.279029,972.8037369,2915.636314,0.050728143
1790.986372,973.1749781,2915.718915,0.050687159
1790.603566,973.479784,2915.636842,0.050645654
1790.151664,973.7315291,2915.426298,0.050604294
1789.648609,973.9416391,2915.118173,0.050563615
1789.109521,974.1197605,2914.738513,0.050524038
1788.54749,974.2742583,2914.30988,0.050485904
1787.97351,974.4121744,2913.851244,0.050449473
1787.396623,974.5393133,2913.378218,0.050414932
1786.824603,974.6606744,2912.904235,0.050382424
1786.263794,974.7803535,2912.440276,0.050352043
1785.719181,974.901581,2911.994981,0.050323836
1785.195001,975.0271137,2911.575704,0.050297831
1784.694528,975.1590986,2911.188147,0.050274022
1784.220088,975.2990798,2910.83638,0.05025238
1783.773622,975.4483591,2910.523813,0.050232866
1783.356432,975.6078351,2910.252761,0.050215423
1782.969159,975.7779863,2910.024401,0.05019998
1782.612307,975.9592083,2909.839681,0.050186464
1782.28597,976.1516362,2909.698838,0.050174796
1781.989771,976.3551098,2909.60131,0.050164886
1781.723368,976.5694932,2909.546593,0.050156649
1781.486156,976.7944861,2909.533735,0.050149997
1781.277193,977.0295759,2909.561206,0.050144836
1781.095679,977.2743441,2909.627727,0.05014108
1780.940654,977.5282709,2909.731737,0.050138644
1780.810902,977.7906774,2909.871247,0.050137437
1780.705422,978.061023,2910.044633,0.050137379
1780.623109,978.3387047,2910.250101,0.05013839
1780.562663,978.6229944,2910.485515,0.05014039
1780.523034,978.9133271,2910.749179,0.050143305
1780.50311,979.2090999,2911.039288,0.050147067
1780.501613,979.5096041,2911.353753,0.050151602
1780.517537,979.8143074,2911.690957,0.050156849
1780.549839,980.1226535,2912.049216,0.050162748
1780.597323,980.4339901,2912.426587,0.050169235
1780.659079,980.7478478,2912.821619,0.05017626
1780.734167,981.0637392,2913.232811,0.050183771
1780.821505,981.3810861,2913.658418,0.050191715
1780.920299,981.6994937,2914.097187,0.05020005
1781.029728,982.0185519,2914.547826,0.050208732
1781.148833,982.3377611,2915.0088,0.050217719
1781.27694,982.6568031,2915.479064,0.050226974
1781.41335,982.9753445,2915.957533,0.050236463
1781.557224,983.2929612,2916.44288,0.05024615
1781.708001,983.6094076,2916.934256,0.050256007
1781.865099,983.9244212,2917.430772,0.050266005
1782.027788,984.2376473,2917.931287,0.050276115
1782.195615,984.548905,2918.435136,0.050286315
1782.368098,984.8579952,2918.941601,0.050296581
1782.544609,985.1646239,2919.449713,0.05030689
1782.724786,985.4686669,2919.958961,0.050317225
1782.908238,985.7699793,2920.468781,0.050327568
1783.094425,986.0683194,2920.978351,0.050337898
1783.283065,986.3636109,2921.487294,0.050348202
1783.473844,986.6557545,2921.995175,0.050358469
1783.666297,986.9445524,2922.501298,0.050368679
1783.860211,987.2299678,2923.005399,0.050378825
1784.055337,987.5119396,2923.507153,0.050388896
1784.251273,987.790306,2924.005967,0.050398879
1784.447864,988.0650625,2924.501672,0.050408765
1784.644915,988.3361787,2924.994033,0.050418549
1784.842079,988.6035222,2925.482543,0.050428219
1785.039247,988.8671146,2925.967113,0.05043777
1785.236271,989.1269502,2926.44758,0.050447198
1785.432847,989.3829201,2926.92351,0.050456492
1785.628906,989.6350662,2927.394874,0.05046565
1785.824338,989.8834024,2927.861571,0.050474669
1786.018874,990.1278386,2928.323225,0.050483541
1786.212478,990.3684324,2928.779857,0.050492264
1786.405071,990.6052129,2929.231415,0.050500837
1786.596415,990.8381046,2929.677569,0.050509253
1786.7865,991.0671772,2930.118381,0.050517513
1786.975271,991.2924714,2930.553839,0.050525614
1787.162515,991.5139229,2930.983649,0.050533552
1787.348243,991.7316103,2931.407905,0.050541327
1787.532423,991.9455829,2931.826626,0.050548939
1787.71486,992.1557852,2932.239549,0.050556385
1787.895582,992.3623019,2932.646792,0.050563664
1788.074573,992.5651887,2933.048396,0.050570778
1788.251657,992.7643964,2933.444126,0.050577724
1788.426874,992.960014,2933.834116,0.050584502
1788.600221,993.1521018,2934.218428,0.050591114
1788.771537,993.3406151,2934.596844,0.050597556
1788.940873,993.5256456,2934.969513,0.050603832
1789.108236,993.7072564,2935.336512,0.050609942
1789.273475,993.885406,2935.697638,0.050615883
1789.43665,994.0601876,2936.05305,0.050621659
1789.597779,994.2316658,2936.402835,0.050627272
1789.756718,994.3998016,2936.746803,0.050632717
1789.913534,994.5646885,2937.085121,0.050637999
1790.068251,994.7263917,2937.417883,0.05064312
1790.220735,994.8848735,2937.744908,0.050648076
1790.371056,995.0402268,2938.066369,0.050652872
1790.519244,995.1925174,2938.382365,0.050657509
1790.665171,995.3417077,2938.692723,0.050661985
1790.808912,995.48789,2938.997617,0.050666304
1790.950499,995.6311291,2939.297153,0.050670468
1791.089811,995.7713881,2939.591161,0.050674474
1791.226925,995.9087575,2939.879818,0.050678327
1791.361878,996.0433013,2940.16323,0.050682028
1791.494551,996.1749822,2940.441235,0.050685575
