q_ch4,q_co2,q_gas,q_h2
0,0,0,0
1602.610335,839.8738466,2577.300322,0.042729118
1602.850371,840.0313588,2577.718719,0.042757218
1602.788514,840.0018041,2577.622543,0.042779187
1603.412579,840.3678344,2578.664532,0.042824072
1604.003041,840.7053881,2579.641193,0.042874737
1604.90342,841.2220012,2581.132449,0.042942065
1605.997906,841.8505376,2582.94577,0.043024195
1607.336649,842.6225026,2585.167082,0.0431232
1608.920518,843.54005,2587.799563,0.043239373
1610.955117,844.7283514,2591.191299,0.043378104
1613.00734,845.9298813,2594.61549,0.043527218
1615.449905,847.3683256,2598.699755,0.043695823
1618.036605,848.897612,2603.031269,0.04387595
1620.892423,850.5933565,2607.821118,0.044069394
1623.883618,852.3762047,2612.845046,0.044270513
1627.038966,854.2638524,2618.151944,0.044477965
1630.283868,856.2119515,2623.616636,0.044688091
1633.62407,858.2239422,2629.248781,0.044899868
1637.006547,860.2678583,2634.958942,0.045110623
1640.413141,862.3326609,2640.716388,0.045318501
1643.798343,864.390895,2646.444344,0.045520921
1647.139307,866.4285233,2652.103998,0.045716087
1650.409054,868.4288638,2657.649412,0.045902411
1653.593941,870.3829172,2663.056763,0.046078912
1656.678657,872.2807219,2668.299465,0.046244586
1659.63616,874.105659,2673.33158,0.046397545
1662.385889,875.8088377,2678.016908,0.046532657
1664.829532,877.3311239,2682.189792,0.046642858
1666.718904,878.5227424,2685.431522,0.04671654
1668.344034,879.5596391,2688.23239,0.046757119
1669.286285,880.1895469,2689.886505,0.04674829
1670.107843,880.7495608,2691.340052,0.046702267
1668.867495,880.0628478,2689.312382,0.046563046
1667.723776,879.4267617,2687.439603,0.04639083
1665.197931,877.944719,2683.222472,0.046145542
1662.460534,876.3185461,2678.631035,0.045863632
1658.869879,874.157291,2672.578741,0.045534625
1655.218405,871.9328871,2666.395922,0.045190984
1653.114914,870.608524,2662.788866,0.044889358
1645.856778,866.1414321,2650.451103,0.04446182
1645.467144,865.7602004,2649.63976,0.044246839
1640.243306,862.429138,2640.637748,0.043940516
1640.080132,862.0888238,2640.107831,0.043817977
1637.844961,860.4619884,2636.043941,0.043694272
1639.756582,861.2838251,2638.920246,0.043738064
1636.836745,859.1767818,2633.63071,0.043709525
1641.541556,861.6188376,2641.151185,0.043939023
1643.137584,862.1892414,2643.430981,0.044136736
1646.433601,863.7734038,2648.566331,0.044427554
1651.188296,866.2379914,2656.162932,0.044801163
1656.302698,868.9313896,2664.378704,0.045223335
1662.445453,872.261618,2674.34646,0.045707124
1669.028089,875.8833154,2685.083549,0.046230686
1676.288097,879.9465244,2696.997655,0.046794211
1683.012924,883.7279441,2708.051952,0.047357085
1691.332206,888.5141943,2721.840699,0.047972568
1699.107619,893.023232,2734.765249,0.048574291
1707.472671,897.9391261,2748.737814,0.049188765
1715.437326,902.6658158,2762.089725,0.049782173
1723.543036,907.5293865,2775.733655,0.050364852
1731.207788,912.1769998,2788.686158,0.05091479
1738.677528,916.7552247,2801.36018,0.05143433
1745.572346,921.0306707,2813.110604,0.051907601
1751.976447,925.0500503,2824.0752,0.052332673
1757.640601,928.6572002,2833.827596,0.052698109
1762.583714,931.8583762,2842.394325,0.053001032
1766.654671,934.5558464,2849.513699,0.053234561
1769.878116,936.7579039,2855.220424,0.053398764
1772.208144,938.4292666,2859.42915,0.053493368
1773.706268,939.6001713,2862.236423,0.053522669
1774.389211,940.2742533,2863.66368,0.053490277
1774.33162,940.4917751,2863.831799,0.053401998
1773.579849,940.2763632,2862.81439,0.053263245
1772.168924,939.6454294,2860.666606,0.05307946
1770.338386,938.7439267,2857.792851,0.05286174
1771.094587,939.412952,2859.291721,0.052702444
1763.087326,934.7117543,2845.924494,0.052266046
1762.286924,934.4007589,2844.755259,0.052028071
1757.432551,931.6109924,2836.714571,0.051655829
1753.726692,929.5156162,2830.612232,0.051304197
1748.124962,926.2604034,2821.295571,0.050885207
1743.243677,923.4416849,2813.195716,0.050476759
1737.076874,919.837965,2802.917706,0.050022245
1731.104616,916.350376,2792.966296,0.049566105
1724.268886,912.3356851,2781.551856,0.049079408
1717.398548,908.2983522,2770.076931,0.048587456
1709.92853,903.8959624,2757.586833,0.048076489
1702.376813,899.443306,2744.957599,0.047564139
1694.454644,894.7656358,2731.701589,0.0470456
1686.50645,890.0716672,2718.400717,0.046533859
1678.400219,885.2819355,2704.832482,0.046028492
1670.368191,880.5372845,2691.389407,0.045538717
1662.354461,875.8046503,2677.977891,0.045065278
1654.511691,871.1766098,2664.85598,0.044614132
1646.827331,866.6458773,2652.002827,0.044186454
1639.403937,862.274053,2639.591186,0.043786141
1632.243943,858.0625062,2627.625092,0.043413787
1625.398824,854.0423921,2616.191529,0.043070564
1618.849313,850.203048,2605.259035,0.042754767
1612.741446,846.6333365,2595.074835,0.042468355
1606.588786,843.0446901,2584.823382,0.042196427
1600.790663,839.6785336,2575.178994,0.041947542
1655.437123,872.6240983,2667.351334,0.043291408
1574.257478,824.1591365,2530.921267,0.04109553
1598.415428,838.6481851,2571.594743,0.04166036
1567.119388,820.1413694,2519.179686,0.040786608
1586.694212,831.9533236,2552.213257,0.041241967
1559.583874,816.0055073,2506.895253,0.04048772
1575.671247,825.7723299,2534.10677,0.040857692
1552.683505,812.327247,2495.760708,0.040216709
1564.700403,819.6992505,2516.168085,0.040484506
1547.546783,809.7589917,2487.650653,0.039999724
1552.669236,813.054519,2496.511039,0.04009291
1542.070808,807.0301016,2479.0143,0.039782033
1542.124599,807.3307853,2479.387373,0.039747598
1535.658277,803.770281,2468.833119,0.039546436
1534.339491,803.2643119,2466.912323,0.039479138
1528.261739,799.9364049,2457.011673,0.039290832
1529.631422,801.0238928,2459.598129,0.039295503
1523.187679,797.4766494,2449.081195,0.03910088
1523.753703,798.0790569,2450.311107,0.039086804
1518.773068,795.3896942,2442.237207,0.038929921
1518.64322,795.5690566,2442.289291,0.03889539
1513.505728,792.7741711,2433.939055,0.038729295
1515.615523,794.2689235,2437.733436,0.038744674
1509.869352,791.1007641,2428.349422,0.038555278
1510.991057,791.9919213,2430.46829,0.038537363
1506.490879,789.5395822,2423.149346,0.038373263
1506.628276,789.8159425,2423.584855,0.038327405
1502.281839,787.4098715,2416.47637,0.038171368
1505.44351,789.4210036,2421.921798,0.038212841
1501.658157,787.2767002,2415.67954,0.038087188
1503.810231,788.6021724,2419.340388,0.038124366
1503.866958,788.6355019,2419.435191,0.038124722
1504.687057,789.0622648,2420.747798,0.038166177
1509.054497,791.5337062,2427.94715,0.038325851
1512.577407,793.4457401,2433.668539,0.038499171
1517.683161,796.2371826,2441.981841,0.038754345
1523.594076,799.4518176,2451.588077,0.039077165
1530.926225,803.462995,2463.528664,0.039487167
1539.237757,808.0188592,2477.07325,0.039974378
1547.190874,812.333266,2489.986123,0.040502545
1560.226624,819.6638576,2511.422955,0.041210546
1569.777212,824.9201397,2527.007679,0.041866598
1582.685567,832.1948167,2548.250097,0.042643304
1593.798301,838.425426,2566.503152,0.043393352
1608.196378,846.6644918,2590.32656,0.044245785
1618.276155,852.3620669,2606.930193,0.04498446
1634.254257,861.6574784,2633.52589,0.04588666
1641.64406,865.8416169,2645.705115,0.046542177
1660.331157,876.8937655,2676.997547,0.047509781
1665.382319,879.7756326,2685.344894,0.048076029
1683.344879,890.5184906,2715.547186,0.049001529
1687.576344,893.0036012,2722.614058,0.04951236
1704.882535,903.4702192,2751.832995,0.050390581
1708.04324,905.3950951,2757.183498,0.050833982
1724.754085,915.6103874,2785.509772,0.051663566
1726.727659,916.8900986,2788.932405,0.052034934
1742.905131,926.8775553,2816.456186,0.052818091
1743.688501,927.4930402,2817.927921,0.05311978
1759.429163,937.2940992,2844.794612,0.053863474
1759.142304,937.2992196,2844.498528,0.054104442
1774.55073,946.9591263,2870.865912,0.054817267
1773.379424,946.4469159,2869.095449,0.055008913
1788.570578,956.0143372,2895.135781,0.055701406
1786.857296,955.1717571,2892.447908,0.055863523
1801.991184,964.7228884,2918.409702,0.056549952
1800.107686,963.7615531,2915.418034,0.056700452
1815.252136,973.3296182,2941.407591,0.05738423
1813.204795,972.2523492,2938.121819,0.057519185
1828.509641,981.9341999,2964.398552,0.058195234
1826.182066,980.6736601,2960.625477,0.058295847
1840.717774,989.8920962,2985.604946,0.058914496
1838.173586,988.4846948,2981.44976,0.05896132
1851.122876,996.7204753,3003.726762,0.05947633
1848.453834,995.2135484,2999.335718,0.059460161
1859.241625,1002.087638,3017.907321,0.059848337
1856.751549,1000.655739,3013.783414,0.059783321
1865.128123,1005.991179,3028.201318,0.060045588
1863.18056,1004.851595,3024.955249,0.059956855
1869.17505,1008.654704,3035.257008,0.06010881
1868.473488,1008.247527,3034.091167,0.060034148
1871.147019,1009.927783,3038.668888,0.060059677
1873.001749,1011.077546,3041.827869,0.060052969
1873.900787,1011.609751,3043.332657,0.060011572
1875.155352,1012.347577,3045.427448,0.059978789
1875.772089,1012.671254,3046.416149,0.059923646
1876.54147,1013.077819,3047.652493,0.059871861
1876.869139,1013.197084,3048.122332,0.059804604
1877.217121,1013.32029,3048.617669,0.059736517
1877.246539,1013.237278,3048.561236,0.059656503
1877.205089,1013.1052,3048.378699,0.059571782
1876.897067,1012.803495,3047.737527,0.059475103
1876.437506,1012.405733,3046.836021,0.059369164
1875.738217,1011.857579,3045.524324,0.059251059
1874.872148,1011.204535,3043.926977,0.059123954
1873.676916,1010.34359,3041.764934,0.058984187
1872.754921,1009.652024,3040.068265,0.058852418
1871.298284,1008.623242,3037.454882,0.058704955
1870.041826,1007.716092,3035.179857,0.058566378
1868.708084,1006.757586,3032.769565,0.05842913
1867.376722,1005.797698,3030.360318,0.058296353
1866.044593,1004.834981,3027.947283,0.05816781
1864.708275,1003.868022,3025.525375,0.058042555
1863.353557,1002.888757,3023.071172,0.057918934
1861.962624,1001.88685,3020.555071,0.057795041
1860.518535,1000.852554,3017.949008,0.057669083
1859.002856,999.7752322,3015.222413,0.057539366
1857.389493,998.6394425,3012.331608,0.057404063
1855.67651,997.4449023,3009.274256,0.057262245
1853.828539,996.1702496,3005.9907,0.057111803
1851.835808,994.8100628,3002.464961,0.056951643
1849.67639,993.3511619,2998.660116,0.056780806
1847.367618,991.8048018,2994.606221,0.056599684
1844.793184,990.099177,2990.10546,0.056404214
1842.358339,988.4872323,2985.849945,0.056206024
1840.187456,987.0478252,2982.053393,0.056008234
1836.647083,984.7664003,2975.931253,0.055760246
1833.338207,982.6388494,2970.214279,0.05550845
1829.562387,980.2346327,2963.715251,0.055228255
1825.370028,977.5869079,2956.522012,0.054917879
1820.471897,974.5186237,2948.144173,0.054565902
1815.286527,971.2886658,2939.294079,0.054183413
1809.39033,967.6313944,2929.246872,0.053758815
1803.17878,963.7844259,2918.668299,0.053308035
1796.591628,959.7018461,2907.44668,0.052835172
