q_gas,q_ch4,q_co2,q_h2,p_gas,p_gas_h2,p_gas_ch4,p_gas_co2
2800.992331,1705.201006,949.8905666,0.042916702,1.069019847,1.64E-05,0.650802824,0.362532898
2800.992331,1705.201006,949.8905666,0.042916702,1.069019847,1.64E-05,0.650802824,0.362532898
2795.703507,1702.13027,947.9335235,0.042873774,1.06891407,1.64E-05,0.650795405,0.362434528
2798.5554,1703.789746,948.9851413,0.042927142,1.068971108,1.64E-05,0.650800771,0.362486195
2800.925414,1705.161659,949.8662502,0.042965598,1.069018508,1.64E-05,0.65080254,0.362531825
2774.951783,1690.082899,940.2540478,0.042587057,1.068499036,1.64E-05,0.650768766,0.362046126
2780.380374,1693.265543,942.2318079,0.04266734,1.068607607,1.64E-05,0.650787373,0.36213609
2785.011186,1695.953353,943.9460793,0.042734859,1.068700224,1.64E-05,0.65079298,0.3622231
2789.877894,1698.772181,945.7536195,0.042805886,1.068797558,1.64E-05,0.650796783,0.362316631
2791.830367,1699.897755,946.4841094,0.042834392,1.068836607,1.64E-05,0.650796327,0.362356136
2794.211504,1701.275057,947.3703777,0.042869261,1.06888423,1.64E-05,0.650797578,0.362402508
2798.821356,1703.945902,949.0818069,0.042936703,1.068976427,1.64E-05,0.650801809,0.362490474
2800.995221,1705.20032,949.8939487,0.042968476,1.069019904,1.64E-05,0.650801925,0.362533835
2792.014831,1699.984852,946.5723681,0.042837231,1.068840297,1.64E-05,0.650788919,0.362367234
2794.776388,1701.597294,947.585136,0.042877823,1.068895528,1.64E-05,0.650796158,0.362415225
2800.07475,1704.670167,949.5490654,0.042955177,1.069001495,1.64E-05,0.650802253,0.362515097
2801.249568,1705.344876,949.9911852,0.042972248,1.069024991,1.64E-05,0.650801097,0.36253975
2799.83485,1704.520875,949.4702992,0.042951601,1.068996697,1.64E-05,0.650798094,0.362514458
2801.45625,1705.461766,950.0707758,0.042975359,1.069029125,1.64E-05,0.650800204,0.362544777
2800.641181,1704.986799,949.7709053,0.04296343,1.069012824,1.64E-05,0.650798383,0.362530296
2880.451255,1751.22417,979.4100495,0.04412845,1.070609025,1.64E-05,0.650896764,0.364028114
2846.866719,1731.682027,967.0214915,0.043637368,1.069937334,1.64E-05,0.6508177,0.363435489
2823.321174,1718.060344,958.2583407,0.043295067,1.069466423,1.64E-05,0.650796611,0.362985667
2819.002748,1715.590607,956.6226462,0.043232553,1.069380055,1.64E-05,0.65080404,0.36289187
2814.450698,1712.964409,954.9213486,0.043165834,1.069289014,1.64E-05,0.650803379,0.36280149
2810.571376,1710.725382,953.4724515,0.043108997,1.069211428,1.64E-05,0.650802589,0.362724694
2805.080569,1707.550183,951.4277983,0.043028668,1.069101611,1.64E-05,0.650799365,0.362618102
2802.18525,1705.87911,950.3464495,0.04298626,1.069043705,1.64E-05,0.650798988,0.362560573
2798.896466,1703.9761,949.1230113,0.042938067,1.068977929,1.64E-05,0.650796792,0.362496993
2801.18292,1705.307306,949.9653967,0.042971418,1.069023658,1.64E-05,0.650801432,0.362538082
2799.469917,1704.311128,949.3331268,0.042946242,1.068989398,1.64E-05,0.650798394,0.36250686
2801.619813,1705.559385,950.1286464,0.042977666,1.069032396,1.64E-05,0.65080145,0.362546802
2795.132127,1701.792666,947.7279396,0.042882778,1.068902643,1.64E-05,0.650792376,0.362426123
2801.47388,1705.480428,950.0688735,0.04297563,1.069029478,1.64E-05,0.650803445,0.362541889
2797.21698,1703.006745,948.4957877,0.0429133,1.06894434,1.64E-05,0.650796643,0.362463552
2800.543714,1704.94099,949.7240573,0.04296201,1.069010874,1.64E-05,0.65080236,0.36252437
2808.994784,1709.83903,952.8600075,0.043085423,1.069179896,1.64E-05,0.650811289,0.362684462
2803.814758,1706.823834,950.9508078,0.04300963,1.069076295,1.64E-05,0.650800805,0.362591346
2799.358289,1704.242839,949.295298,0.042944691,1.068987166,1.64E-05,0.650796909,0.362506112
2801.552614,1705.521557,950.102593,0.042976828,1.069031052,1.64E-05,0.650801807,0.362545101
2800.730882,1705.043213,949.799764,0.04296472,1.069014618,1.64E-05,0.650800164,0.362530309
2770.462599,1687.475015,938.5945665,0.042522057,1.068409252,1.64E-05,0.650762771,0.361962338
2776.386184,1690.95142,940.7490591,0.042609168,1.068527724,1.64E-05,0.650784275,0.362059304
2781.121923,1693.701259,942.5010105,0.042678004,1.068622438,1.64E-05,0.6507903,0.362147995
2785.650184,1696.324124,944.1827482,0.042744008,1.068713004,1.64E-05,0.650793721,0.362235139
2790.593193,1699.186071,946.0197079,0.042816233,1.068811864,1.64E-05,0.650797198,0.362330522
2792.675595,1700.386748,946.7986113,0.042846687,1.068853512,1.64E-05,0.650796802,0.362372566
2795.157783,1701.822607,947.7223876,0.042883057,1.068903156,1.64E-05,0.650798165,0.362420847
2800.811236,1705.098773,949.8205921,0.042965764,1.069016225,1.64E-05,0.650803678,0.362528403
2817.876769,1714.987928,956.1548879,0.043215121,1.069357535,1.64E-05,0.65082167,0.362851721
2812.094072,1711.611928,954.0334724,0.043130483,1.069241881,1.64E-05,0.650805809,0.362751927
2807.410779,1708.900257,952.2929387,0.043062449,1.069148216,1.64E-05,0.650801683,0.362662388
2801.894053,1705.707412,950.2413236,0.042981982,1.069037881,1.64E-05,0.650797569,0.362556168
2799.079871,1704.083058,949.1904038,0.042940877,1.068981597,1.64E-05,0.650797231,0.362500222
2801.339437,1705.398585,950.0229093,0.042973823,1.069026789,1.64E-05,0.650801809,0.362540836
2796.899006,1702.821663,948.3785922,0.042908811,1.06893798,1.64E-05,0.650796023,0.362457813
2800.149486,1704.712545,949.5777346,0.042956362,1.06900299,1.64E-05,0.650801972,0.362516874
2801.359203,1705.41058,950.0297048,0.042973915,1.069027184,1.64E-05,0.650802035,0.362541005
2796.988783,1702.873859,948.4117421,0.042910047,1.068939776,1.64E-05,0.650796175,0.362459457
2800.263192,1704.778395,949.619977,0.042957994,1.069005264,1.64E-05,0.650802069,0.362519051
2802.825174,1706.260802,950.5730974,0.042995332,1.069056503,1.64E-05,0.650803776,0.362568583
2799.62917,1704.402142,949.3935041,0.042948575,1.068992583,1.64E-05,0.650798066,0.362510373
2805.686792,1707.918443,951.6358435,0.043037196,1.069113736,1.64E-05,0.650806452,0.362623139
2802.520569,1706.074458,950.4698703,0.042990815,1.069050411,1.64E-05,0.65079972,0.362566547
2799.111952,1704.098876,949.205084,0.04294109,1.068982239,1.64E-05,0.650796204,0.362501891
2801.356467,1705.405068,950.0326165,0.042973946,1.069027129,1.64E-05,0.650800534,0.362542451
2796.921341,1702.831178,948.3903108,0.042909069,1.068938427,1.64E-05,0.650794734,0.362459549
2800.174419,1704.723617,949.5903645,0.04295668,1.069003488,1.64E-05,0.650800708,0.362518636
2801.50781,1705.493479,950.0880774,0.042976051,1.069030156,1.64E-05,0.650800956,0.362545056
2800.702161,1705.023472,949.7922021,0.042964258,1.069014043,1.64E-05,0.650798953,0.362530945
2812.76802,1712.021189,954.2649076,0.043140606,1.06925536,1.64E-05,0.650813654,0.362757561
2807.773255,1709.111178,952.4266074,0.043067495,1.069155465,1.64E-05,0.650802394,0.362668927
2802.396815,1705.996555,950.430127,0.042989152,1.069047936,1.64E-05,0.650797234,0.362566557
2799.140668,1704.114957,949.2163008,0.04294166,1.068982813,1.64E-05,0.650796018,0.362502651
2801.413328,1705.438483,950.0532555,0.042974845,1.069028267,1.64E-05,0.650800768,0.362543354
2793.757314,1700.994473,947.2191959,0.042862798,1.068875146,1.64E-05,0.650790499,0.362400503
2798.560798,1703.791352,948.988661,0.042933143,1.068971216,1.64E-05,0.650800195,0.362486877
2800.928241,1705.16084,949.8697543,0.042967581,1.069018565,1.64E-05,0.650801605,0.362532816
2769.641773,1686.996982,938.292336,0.04250998,1.068392835,1.64E-05,0.650761231,0.361947462
2775.658295,1690.528095,940.4804569,0.042598524,1.068513166,1.64E-05,0.650783106,0.362045916
2780.43289,1693.300554,942.2467189,0.042667944,1.068608658,1.64E-05,0.650789177,0.362135337
2784.941621,1695.912095,943.9212079,0.042733667,1.068698832,1.64E-05,0.650792556,0.362222132
2789.766195,1698.70538,945.7142371,0.042804163,1.068795324,1.64E-05,0.650795888,0.362315292
2795.914539,1702.265833,947.9985575,0.042894071,1.068918291,1.64E-05,0.65080068,0.362433466
